residence_id,name,housing_type,price_text,price_min_eur,price_max_eur,surface_text,surface_min_m2,surface_max_m2,details,address,link,source_url,first_seen_cet,last_seen_cet
4e7163b312b3d413,CONDORCET,"Colocation, Couple","de 310,16 à 620,32 €",310.16,620.32,"de 29,17 à 35,84 m²",29.17,35.84,"de 29,17 à 35,84 m² | Colocation, Couple | 2 lits rapprochables | Pièce à vivre, WC, Douche, Evier + plaque, Frigo",4 CHEMIN PEYDAVANT 33400 TALENCE,https://trouverunlogement.lescrous.fr/tools/47/accommodations/89,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=-0.6111634_44.8252468_-0.5726706_44.7868187&locationName=Talence+%2833400%29 | https://trouverunlogement.lescrous.fr/tools/47/search?bounds=-0.6386987_44.9161806_-0.5336838_44.8107826&locationName=Bordeaux,2026-09-21T08:03:14+01:00,2026-09-21T08:03:14+01:00
604496230ddbf2ab,BOETIE,Individuel,"410,99 €",410.99,,"19,2 m²",19.2,,"19,2 m² | Individuel | 1 lit simple | WC, Douche, Evier + plaque, Frigo",57 RUE SAINT JAMES 33000 bordeaux,https://trouverunlogement.lescrous.fr/tools/47/accommodations/224,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=-0.6386987_44.9161806_-0.5336838_44.8107826&locationName=Bordeaux,2026-09-21T11:45:18+01:00,2026-09-21T11:45:18+01:00
85dfbca1074084aa,MARNE,Individuel,"436,78 €",436.78,,"18,33 m²",18.33,,"18,33 m² | Individuel | 1 lit simple | WC, Douche, Evier + plaque, Frigo",99-101 COURS DE LA MARNE 33000 BORDEAUX,https://trouverunlogement.lescrous.fr/tools/47/accommodations/970,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=-0.6386987_44.9161806_-0.5336838_44.8107826&locationName=Bordeaux,2026-09-21T12:33:14+01:00,2026-09-21T12:33:14+01:00
3661d49c20686507,ART DE RIVE,Individuel,497 €,497,,"de 18,1 à 25,1 m²",18.1,25.1,"de 18,1 à 25,1 m² | Individuel | 1 lit simple | WC, Douche, Evier + plaque, Frigo",64 boulevard des frères MOGA 33800 BORDEAUX,https://trouverunlogement.lescrous.fr/tools/47/accommodations/3244,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=-0.6386987_44.9161806_-0.5336838_44.8107826&locationName=Bordeaux,2026-09-21T12:33:14+01:00,2026-09-21T12:33:14+01:00
